"","ID","Location","Attendance","Hours","Minutes","Game Date","Highlights","HOME TEAM","HOME SCORE","HOME TEAM LOSS","HOME TEAM WIn","HOME TEAM Series loss","HOME TEAM Series win","AWAY TEAM","AWAY SCORE","AWAY TEAM LOSS","AWAY TEAM WIn","AWAY TEAM Series loss","AWAY TEAM Series win"
"1",21800001,"TD Garden","18624","2","19","10-16","Tatum: 23 pts, 9 reb; Hayward: 10 pts","BOS","105","0","1","0","0","PHI","87","1","0","0","0"
"2",21800002,"ORACLE Arena","19596","2","25","10-16","Curry: 32 pts, 9 ast; Durant: 27 pts","GSW","108","0","1","0","0","OKC","100","1","0","0","0"
"3",21800003,"Spectrum Center","17889","2","17","10-17","Antetokounmpo: 25 points, 18 rebounds","CHA","112","1","0","0","0","MIL","113","0","1","0","0"
"4",21800004,"Little Caesars Arena","20332","2","24","10-17","Drummond: 24 points, 20 rebounds","DET","103","0","1","0","0","BKN","100","1","0","0","0"
"5",21800005,"Bankers Life Fieldhouse","17923","2","09","10-17","Sabonis: 14 points, 15 rebounds","IND","111","0","1","0","0","MEM","83","1","0","0","0"
"6",21800006,"Amway Center","19191","2","28","10-17","Gordon: 26 points, 16 rebounds","ORL","104","0","1","0","0","MIA","101","1","0","0","0"
"7",21800007,"Madison Square Garden","18249","2","14","10-17","Hardaway: 31 pts; Young: 14 pts","NYK","126","0","1","0","0","ATL","107","1","0","0","0"
"8",21800008,"Scotiabank Arena","19915","2","23","10-17","Leonard: 24 points, 12 rebounds","TOR","116","0","1","0","0","CLE","104","1","0","0","0"
"9",21800009,"Toyota Center","18055","2","15","10-17","Davis: 32 pts, 16 reb, 8 ast","HOU","112","1","0","0","0","NOP","131","0","1","0","0"
"10",21800010,"AT&T Center","18354","2","16","10-17","DeRozan: 28 pts; Aldridge: 21 pts, 19 reb","SAS","112","0","1","0","0","MIN","108","1","0","0","0"
